Symbol,Risk
MMM,0.0
ABT,19.064238063289764
ABBV,24.618493985544568
ACN,16.959851026008625
ATVI,25.939326293747023
AYI,33.092599587907586
ADBE,24.923810785733842
AAP,38.52402075021691
AES,18.19290428145376
AET,20.608411579607317
AMG,24.805297738375355
AFL,19.15623548548557
A,22.529657808396884
APD,17.910414813984538
AKAM,37.465341191868966
ALK,33.93321553504349
ALB,28.997451330073876
ALXN,38.0444736206283
ALLE,0.0
AGN,29.568101114764993
ADS,26.228331343769177
LNT,13.204341348834047
ALL,16.781130223387866
GOOGL,18.401181932739025
GOOG,18.15958533871738
MO,18.93804151907218
AMZN,25.513492309559936
AEE,15.134164478017084
AAL,30.712677669712434
AEP,14.182029879628356
AXP,18.721900449573646
AIG,21.13751039809782
AMT,22.617720495861388
AWK,14.271510059320144
AMP,24.65139352624169
ABC,25.75689393937853
AME,18.57231970910653
AMGN,22.45914714195318
APH,18.469906657428208
APC,35.11727474937358
ADI,23.193397956813055
ANTM,21.16492074986353
AON,17.767262469121537
APA,35.22717198307188
AIV,18.06518971069511
AAPL,23.134894268787463
AMAT,27.72643179375939
ADM,20.115002314735417
ARNC,35.73440239007063
AJG,15.888254937233363
AIZ,23.737185317198932
T,21.21658840792634
ADSK,33.36896135500504
ADP,20.693104629077848
AN,35.01862793660053
AZO,26.857817763061487
AVB,17.67914249038573
AVY,19.18526373259883
BHI,42.64482313628567
BLL,21.368975885043838
BAC,42.64482313628567
BCR,20.92477165444107
BAX,17.313927731366864
BBT,19.997766978612564
BDX,17.981303965397398
BBBY,37.61575710604434
BRK.B,0.0
BBY,31.258936389721313
BIIB,26.14960247217793
BLK,18.89513331172927
HRB,36.23543116947667
BA,21.66134585204098
BWA,27.60578476060867
BXP,17.974785430873425
BSX,0.0
BMY,22.891015257455344
AVGO,25.71110911185276
BF.B,0.0
CHRW,20.534320937891223
CA,19.92679167875014
COG,35.35489655793288
CPB,21.613953223948528
COF,22.820474217888915
CAH,24.566065216648035
KMX,31.274251699655615
CCL,20.33009999535909
CAT,0.0
CBOE,19.425490498841487
CBG,24.318887837769434
CBS,22.295457485428948
CELG,37.02505810699838
CNC,24.333283643607047
CNP,15.636619857477848
CTL,39.76551506826363
CERN,25.110087493370862
CF,37.30982772839075
SCHW,23.424781098821935
CHTR,26.125802107935797
CHK,57.73832236260969
CVX,16.942857736795457
CMG,34.88735865715976
CB,15.287676410421772
CHD,16.76605196281904
CI,18.68742778314296
XEC,19.201223888472533
CINF,17.798937703555865
CTAS,18.35708252656836
CSCO,20.097783428569326
C,42.64482313628567
CFG,21.104255054838365
CTXS,19.15672131026859
CME,19.486877043887933
CMS,13.804542081185863
COH,28.45468372686743
KO,13.448794960442909
CTSH,34.67853188339578
CL,15.37222364490326
CMCSA,18.967492130374165
CMA,20.988083439309175
CAG,18.129888960559747
CXO,29.40936140809276
COP,28.044350537327407
ED,13.676858908865084
STZ,9.230375653169254
GLW,21.71882811979657
COST,20.83636397297678
COTY,33.72446263153552
CCI,42.64482313628567
CSRA,25.73101389076949
CSX,28.283318821176408
